index	identifier	file	sum_stat	clip_soft	description	group
218	INO4_S0	INO4_S0_coverage.bw	sum	100000	INO4_S0 Chip-exo, coverage	Other
219	INO4_S1	INO4_S1_coverage.bw	sum	100000	INO4_S1 Chip-exo, coverage	Other
220	INO80_S0	INO80_S0_coverage.bw	sum	100000	INO80_S0 Chip-exo, coverage	Other
221	IOC2_S0	IOC2_S0_coverage.bw	sum	100000	IOC2_S0 Chip-exo, coverage	Other
222	IOC3_S0	IOC3_S0_coverage.bw	sum	100000	IOC3_S0 Chip-exo, coverage	Other
223	IOC4_S0	IOC4_S0_coverage.bw	sum	100000	IOC4_S0 Chip-exo, coverage	Other
224	IRC20_S0	IRC20_S0_coverage.bw	sum	100000	IRC20_S0 Chip-exo, coverage	Other
225	IRR1_S0	IRR1_S0_coverage.bw	sum	100000	IRR1_S0 Chip-exo, coverage	Other
226	IRR1_S1	IRR1_S1_coverage.bw	sum	100000	IRR1_S1 Chip-exo, coverage	Other
227	ISW1_S0	ISW1_S0_coverage.bw	sum	100000	ISW1_S0 Chip-exo, coverage	Other
228	ISW2_S0	ISW2_S0_coverage.bw	sum	100000	ISW2_S0 Chip-exo, coverage	Other
229	ITC1_S0	ITC1_S0_coverage.bw	sum	100000	ITC1_S0 Chip-exo, coverage	Other
230	IWR1_S0	IWR1_S0_coverage.bw	sum	100000	IWR1_S0 Chip-exo, coverage	Other
231	IWS1_S0	IWS1_S0_coverage.bw	sum	100000	IWS1_S0 Chip-exo, coverage	Other
232	IWS1_S1	IWS1_S1_coverage.bw	sum	100000	IWS1_S1 Chip-exo, coverage	Other
233	IXR1_S0	IXR1_S0_coverage.bw	sum	100000	IXR1_S0 Chip-exo, coverage	Other
234	JHD1_S0	JHD1_S0_coverage.bw	sum	100000	JHD1_S0 Chip-exo, coverage	Other
235	JHD2_S0	JHD2_S0_coverage.bw	sum	100000	JHD2_S0 Chip-exo, coverage	Other
236	KAP95_S0	KAP95_S0_coverage.bw	sum	100000	KAP95_S0 Chip-exo, coverage	Other
237	KAR2_S0	KAR2_S0_coverage.bw	sum	100000	KAR2_S0 Chip-exo, coverage	Other
238	KAR4_S0	KAR4_S0_coverage.bw	sum	100000	KAR4_S0 Chip-exo, coverage	Other
239	KAR4_S1	KAR4_S1_coverage.bw	sum	100000	KAR4_S1 Chip-exo, coverage	Other
240	KIN28_S0	KIN28_S0_coverage.bw	sum	100000	KIN28_S0 Chip-exo, coverage	Other
241	KIN28_S1	KIN28_S1_coverage.bw	sum	100000	KIN28_S1 Chip-exo, coverage	Other
242	KSS1_S0	KSS1_S0_coverage.bw	sum	100000	KSS1_S0 Chip-exo, coverage	Other
243	KTI12_S0	KTI12_S0_coverage.bw	sum	100000	KTI12_S0 Chip-exo, coverage	Other
244	LEA1_S0	LEA1_S0_coverage.bw	sum	100000	LEA1_S0 Chip-exo, coverage	Other
245	LEA1_S1	LEA1_S1_coverage.bw	sum	100000	LEA1_S1 Chip-exo, coverage	Other
246	LEO1_S0	LEO1_S0_coverage.bw	sum	100000	LEO1_S0 Chip-exo, coverage	Other
247	LEO1_S1	LEO1_S1_coverage.bw	sum	100000	LEO1_S1 Chip-exo, coverage	Other
248	LEU3_S0	LEU3_S0_coverage.bw	sum	100000	LEU3_S0 Chip-exo, coverage	Other
249	LEU3_S1	LEU3_S1_coverage.bw	sum	100000	LEU3_S1 Chip-exo, coverage	Other
250	LGE1_S0	LGE1_S0_coverage.bw	sum	100000	LGE1_S0 Chip-exo, coverage	Other
251	LOT5_S0	LOT5_S0_coverage.bw	sum	100000	LOT5_S0 Chip-exo, coverage	Other
252	LRG1_S0	LRG1_S0_coverage.bw	sum	100000	LRG1_S0 Chip-exo, coverage	Other
253	LYS14_S0	LYS14_S0_coverage.bw	sum	100000	LYS14_S0 Chip-exo, coverage	Other
254	LYS14_S1	LYS14_S1_coverage.bw	sum	100000	LYS14_S1 Chip-exo, coverage	Other
255	LYS20_S0	LYS20_S0_coverage.bw	sum	100000	LYS20_S0 Chip-exo, coverage	Other
256	LYS20_S1	LYS20_S1_coverage.bw	sum	100000	LYS20_S1 Chip-exo, coverage	Other
257	LYS21_S0	LYS21_S0_coverage.bw	sum	100000	LYS21_S0 Chip-exo, coverage	Other
258	LYS21_S1	LYS21_S1_coverage.bw	sum	100000	LYS21_S1 Chip-exo, coverage	Other
259	MAC1_S1	MAC1_S1_coverage.bw	sum	100000	MAC1_S1 Chip-exo, coverage	Other
260	MAF1_S0	MAF1_S0_coverage.bw	sum	100000	MAF1_S0 Chip-exo, coverage	Other
